Player,Attempts,Percent Made
Justin Slater,594,75.6%
Josh Carrafiello,334,68.0%
Connor Reinman,703,66.0%
Andrew Hutchinson,619,65.9%
Ron Langill,108,65.7%
Travis Keener,63,65.1%
Robert Bonnett,74,62.2%
Darren Carr,103,62.1%
Jason Beierling,184,57.6%
Ray Beierling,302,57.3%
Nolan Tracey,95,56.8%
Nathan Walsh,164,55.5%
Jeremy Tracey,184,49.5%
Jon Conrad,69,43.5%
